id,data,categoria,descricao,valor
55,2026-01-01,Manutenção e Reparos,Pintura,3096.12
56,2026-01-20,Manutenção e Reparos,Manutenção de elevador,2372.81
57,2026-01-26,Marketing e Vendas,Material promocional,2356.00
58,2026-01-17,Marketing e Vendas,Comissão de OTA,1481.35
59,2026-01-22,Marketing e Vendas,Material promocional,1988.56
60,2026-01-10,Marketing e Vendas,Material promocional,1332.23
61,2026-01-04,Marketing e Vendas,Comissão de OTA,1743.27
62,2026-01-09,Marketing e Vendas,Comissão de OTA,1838.61
63,2026-01-29,Marketing e Vendas,Comissão de OTA,2197.43
64,2026-01-24,Marketing e Vendas,Material promocional,2443.44
65,2026-01-05,Marketing e Vendas,Mídia paga,1879.67
66,2026-01-09,Impostos e Taxas,ISS,7281.52
67,2026-01-01,Impostos e Taxas,IPTU,4207.62
68,2026-01-25,Impostos e Taxas,PIS/COFINS,6782.92
69,2026-01-21,Impostos e Taxas,IPTU,4568.75
70,2026-01-06,Impostos e Taxas,Taxa de bombeiros,5911.58
71,2026-01-18,Impostos e Taxas,Taxa de bombeiros,8404.14
72,2026-01-18,Impostos e Taxas,ISS,8049.92
73,2026-01-04,Impostos e Taxas,ISS,3542.04
74,2026-01-31,Impostos e Taxas,PIS/COFINS,5523.13
75,2026-01-25,Alimentação e Bebidas,Panificação,2860.59
76,2026-01-20,Alimentação e Bebidas,Carnes e frios,1712.62
77,2026-01-30,Alimentação e Bebidas,Carnes e frios,1658.06
78,2026-01-28,Alimentação e Bebidas,Carnes e frios,2135.86
79,2026-01-26,Alimentação e Bebidas,Carnes e frios,3696.88
80,2026-01-29,Alimentação e Bebidas,Panificação,3425.07
81,2026-01-01,Alimentação e Bebidas,Carnes e frios,3595.73
82,2026-01-24,Alimentação e Bebidas,Bebidas,3696.73
83,2026-01-26,Alimentação e Bebidas,Panificação,1876.41
84,2026-01-26,Alimentação e Bebidas,Carnes e frios,1980.67
85,2026-01-09,Alimentação e Bebidas,Carnes e frios,1592.91
86,2026-01-28,Limpeza e Higiene,Produtos de limpeza,1716.34
87,2026-01-08,Limpeza e Higiene,Produtos de limpeza,1047.70
88,2026-01-22,Limpeza e Higiene,Produtos de limpeza,1887.77
89,2026-01-13,Limpeza e Higiene,Amenities,1360.51
90,2026-01-09,Limpeza e Higiene,Produtos de limpeza,2758.56
91,2026-01-31,Limpeza e Higiene,Amenities,1652.39
92,2026-01-12,Limpeza e Higiene,Enxoval e rouparia,2568.14
93,2026-01-07,Outras Despesas,Seguro predial,464.82
94,2026-01-02,Outras Despesas,Material de escritório,295.06
95,2026-01-14,Outras Despesas,Internet e telefonia,770.12
96,2026-01-17,Outras Despesas,Material de escritório,425.71
97,2026-01-22,Outras Despesas,Material de escritório,604.33
98,2026-01-31,Outras Despesas,Material de escritório,829.68
99,2026-01-24,Outras Despesas,Material de escritório,301.02
100,2026-01-07,Outras Despesas,Seguro predial,613.26
101,2026-01-14,Outras Despesas,Internet e telefonia,472.95
102,2026-01-31,Outras Despesas,Material de escritório,719.44
103,2026-01-30,Outras Despesas,Seguro predial,523.68
104,2026-01-20,Outras Despesas,Seguro predial,830.07
105,2026-01-22,Outras Despesas,Internet e telefonia,344.30
106,2026-01-24,Outras Despesas,Seguro predial,782.68
107,2026-02-03,Folha de Pagamento,Encargos sociais,34043.18
108,2026-02-04,Folha de Pagamento,Horas extras,14133.49
109,2026-02-28,Folha de Pagamento,Salários,12217.87
110,2026-02-26,Folha de Pagamento,Salários,18871.59
111,2026-02-12,Folha de Pagamento,Vale-transporte,27364.02
112,2026-02-22,Folha de Pagamento,Horas extras,33890.99
113,2026-02-03,Folha de Pagamento,Horas extras,20840.13
114,2026-02-01,Folha de Pagamento,Vale-transporte,28239.49
115,2026-02-21,Energia Elétrica,Demanda contratada,6206.53
116,2026-02-20,Energia Elétrica,Demanda contratada,5732.26
117,2026-02-15,Energia Elétrica,Demanda contratada,9251.89
118,2026-02-27,Energia Elétrica,Demanda contratada,6380.83
119,2026-02-11,Energia Elétrica,Fatura Copel,4341.41
120,2026-02-27,Energia Elétrica,Fatura Copel,4495.30
121,2026-02-09,Energia Elétrica,Demanda contratada,6793.09
122,2026-02-07,Água e Esgoto,Fatura Sanepar,1341.34
123,2026-02-08,Água e Esgoto,Fatura Sanepar,1464.64
124,2026-02-16,Água e Esgoto,Fatura Sanepar,1048.65
125,2026-02-23,Água e Esgoto,Fatura Sanepar,1246.63
126,2026-02-21,Água e Esgoto,Fatura Sanepar,1034.38
127,2026-02-15,Água e Esgoto,Fatura Sanepar,1238.16
128,2026-02-03,Água e Esgoto,Fatura Sanepar,1071.75
129,2026-02-08,Água e Esgoto,Fatura Sanepar,950.80
130,2026-02-23,Água e Esgoto,Fatura Sanepar,977.51
131,2026-02-10,Água e Esgoto,Fatura Sanepar,1374.33
132,2026-02-16,Água e Esgoto,Fatura Sanepar,1730.34
133,2026-02-14,Água e Esgoto,Fatura Sanepar,1323.72
134,2026-02-12,Água e Esgoto,Fatura Sanepar,1274.62
135,2026-02-25,Gás,Gás da cozinha,680.63
136,2026-02-04,Gás,Recarga de GLP,1137.85
137,2026-02-10,Gás,Recarga de GLP,759.83
138,2026-02-12,Gás,Recarga de GLP,1157.97
139,2026-02-10,Gás,Recarga de GLP,1351.76
140,2026-02-23,Gás,Recarga de GLP,1108.85
141,2026-02-09,Gás,Recarga de GLP,644.30
142,2026-02-02,Gás,Gás da cozinha,1153.99
143,2026-02-23,Gás,Recarga de GLP,723.45
144,2026-02-21,Gás,Gás da cozinha,1015.15
145,2026-02-16,Manutenção e Reparos,Manutenção de elevador,4358.50
146,2026-02-27,Manutenção e Reparos,Manutenção de elevador,3933.76
147,2026-02-13,Manutenção e Reparos,Pintura,3816.37
148,2026-02-03,Manutenção e Reparos,Manutenção de elevador,2777.11
149,2026-02-05,Manutenção e Reparos,Ar-condicionado,2237.46
150,2026-02-26,Manutenção e Reparos,Hidráulica,5847.76
151,2026-02-14,Marketing e Vendas,Mídia paga,1267.67
152,2026-02-19,Marketing e Vendas,Material promocional,2591.79
153,2026-02-02,Marketing e Vendas,Material promocional,2267.67
154,2026-02-24,Marketing e Vendas,Comissão de OTA,2645.69
155,2026-02-25,Marketing e Vendas,Comissão de OTA,1487.48
156,2026-02-21,Marketing e Vendas,Comissão de OTA,2096.02
157,2026-02-09,Marketing e Vendas,Material promocional,1948.31
158,2026-02-03,Marketing e Vendas,Comissão de OTA,1932.34
159,2026-02-08,Marketing e Vendas,Comissão de OTA,2788.00
160,2026-02-22,Impostos e Taxas,PIS/COFINS,3998.84
161,2026-02-09,Impostos e Taxas,PIS/COFINS,7561.36
162,2026-02-14,Impostos e Taxas,ISS,8701.38
163,2026-02-18,Impostos e Taxas,PIS/COFINS,6294.55
164,2026-02-21,Impostos e Taxas,PIS/COFINS,5818.97
165,2026-02-09,Impostos e Taxas,PIS/COFINS,9601.46
166,2026-02-03,Impostos e Taxas,ISS,9569.89
167,2026-02-06,Impostos e Taxas,IPTU,7589.42
168,2026-02-20,Alimentação e Bebidas,Bebidas,2928.62
169,2026-02-01,Alimentação e Bebidas,Hortifrúti,3020.75
170,2026-02-08,Alimentação e Bebidas,Hortifrúti,2507.45
171,2026-02-25,Alimentação e Bebidas,Bebidas,2814.35
172,2026-02-19,Alimentação e Bebidas,Hortifrúti,2408.14
173,2026-02-25,Alimentação e Bebidas,Carnes e frios,3243.04
174,2026-02-16,Alimentação e Bebidas,Panificação,2924.27
175,2026-02-09,Alimentação e Bebidas,Carnes e frios,3424.08
176,2026-02-19,Alimentação e Bebidas,Panificação,4332.73
177,2026-02-21,Alimentação e Bebidas,Panificação,3849.73
178,2026-02-25,Limpeza e Higiene,Amenities,947.30
179,2026-02-28,Limpeza e Higiene,Enxoval e rouparia,930.93
180,2026-02-27,Limpeza e Higiene,Produtos de limpeza,1307.21
181,2026-02-22,Limpeza e Higiene,Enxoval e rouparia,1516.79
182,2026-02-15,Limpeza e Higiene,Amenities,927.01
183,2026-02-02,Limpeza e Higiene,Produtos de limpeza,1333.51
184,2026-02-17,Limpeza e Higiene,Amenities,880.55
185,2026-02-20,Limpeza e Higiene,Amenities,1614.49
186,2026-02-21,Limpeza e Higiene,Amenities,1467.45
187,2026-02-25,Limpeza e Higiene,Produtos de limpeza,1173.11
188,2026-02-07,Limpeza e Higiene,Amenities,1066.68
189,2026-02-18,Limpeza e Higiene,Produtos de limpeza,909.93
190,2026-02-10,Limpeza e Higiene,Amenities,919.72
191,2026-02-16,Outras Despesas,Material de escritório,462.42
192,2026-02-10,Outras Despesas,Material de escritório,1096.21
193,2026-02-23,Outras Despesas,Seguro predial,825.15
194,2026-02-14,Outras Despesas,Seguro predial,550.13
195,2026-02-16,Outras Despesas,Internet e telefonia,489.92
196,2026-02-15,Outras Despesas,Material de escritório,781.96
197,2026-02-05,Outras Despesas,Seguro predial,783.01
198,2026-02-07,Outras Despesas,Material de escritório,441.43
199,2026-02-17,Outras Despesas,Material de escritório,1110.44
200,2026-02-05,Outras Despesas,Internet e telefonia,1051.41
201,2026-02-09,Outras Despesas,Seguro predial,715.44
202,2026-02-11,Outras Despesas,Material de escritório,459.48
203,2026-02-09,Outras Despesas,Internet e telefonia,991.29
204,2026-03-22,Folha de Pagamento,Horas extras,18546.17
205,2026-03-19,Folha de Pagamento,Vale-transporte,8123.34
206,2026-03-27,Folha de Pagamento,Horas extras,18591.89
207,2026-03-04,Folha de Pagamento,Encargos sociais,17243.49
208,2026-03-16,Folha de Pagamento,Salários,15520.29
209,2026-03-20,Folha de Pagamento,Horas extras,18762.31
210,2026-03-30,Folha de Pagamento,Encargos sociais,18601.65
211,2026-03-21,Folha de Pagamento,Salários,16539.21
212,2026-03-21,Folha de Pagamento,Vale-transporte,10976.06
213,2026-03-30,Folha de Pagamento,Horas extras,16362.92
214,2026-03-21,Folha de Pagamento,Vale-transporte,6515.32
215,2026-03-04,Folha de Pagamento,Encargos sociais,13141.38
216,2026-03-02,Folha de Pagamento,Salários,12104.52
217,2026-03-20,Energia Elétrica,Demanda contratada,1946.05
218,2026-03-31,Energia Elétrica,Demanda contratada,2320.90
219,2026-03-02,Energia Elétrica,Demanda contratada,3277.14
220,2026-03-07,Energia Elétrica,Demanda contratada,2806.83
221,2026-03-15,Energia Elétrica,Fatura Copel,2751.13
222,2026-03-28,Energia Elétrica,Demanda contratada,4577.94
223,2026-03-04,Energia Elétrica,Demanda contratada,3779.15
224,2026-03-18,Energia Elétrica,Demanda contratada,3285.50
225,2026-03-02,Energia Elétrica,Demanda contratada,3434.42
226,2026-03-09,Energia Elétrica,Fatura Copel,3874.27
227,2026-03-31,Energia Elétrica,Fatura Copel,4375.90
228,2026-03-31,Energia Elétrica,Demanda contratada,3647.88
229,2026-03-03,Energia Elétrica,Fatura Copel,4212.53
230,2026-03-18,Água e Esgoto,Fatura Sanepar,1943.74
231,2026-03-19,Água e Esgoto,Fatura Sanepar,2942.58
232,2026-03-27,Água e Esgoto,Fatura Sanepar,5256.07
233,2026-03-11,Água e Esgoto,Fatura Sanepar,4543.49
234,2026-03-26,Água e Esgoto,Fatura Sanepar,2489.63
235,2026-03-09,Água e Esgoto,Fatura Sanepar,4694.73
236,2026-03-25,Gás,Gás da cozinha,890.49
237,2026-03-17,Gás,Recarga de GLP,800.15
238,2026-03-15,Gás,Recarga de GLP,1377.35
239,2026-03-31,Gás,Recarga de GLP,623.73
240,2026-03-24,Gás,Gás da cozinha,610.77
241,2026-03-15,Gás,Recarga de GLP,1530.30
242,2026-03-02,Gás,Gás da cozinha,875.40
243,2026-03-28,Gás,Gás da cozinha,977.23
244,2026-03-14,Gás,Recarga de GLP,799.85
245,2026-03-16,Gás,Gás da cozinha,655.31
246,2026-03-03,Gás,Recarga de GLP,1473.04
247,2026-03-11,Gás,Recarga de GLP,1217.24
248,2026-03-03,Gás,Recarga de GLP,1477.72
249,2026-03-09,Gás,Gás da cozinha,1158.11
250,2026-03-24,Manutenção e Reparos,Manutenção de elevador,1599.27
251,2026-03-11,Manutenção e Reparos,Pintura,2023.09
252,2026-03-11,Manutenção e Reparos,Hidráulica,1871.49
253,2026-03-12,Manutenção e Reparos,Ar-condicionado,2601.61
254,2026-03-22,Manutenção e Reparos,Pintura,1236.15
255,2026-03-03,Manutenção e Reparos,Manutenção de elevador,2323.19
256,2026-03-27,Manutenção e Reparos,Manutenção de elevador,2771.83
257,2026-03-03,Manutenção e Reparos,Pintura,2115.20
258,2026-03-04,Manutenção e Reparos,Hidráulica,2747.26
259,2026-03-26,Manutenção e Reparos,Ar-condicionado,1871.23
260,2026-03-18,Manutenção e Reparos,Manutenção de elevador,2792.73
261,2026-03-19,Manutenção e Reparos,Hidráulica,1838.52
262,2026-03-22,Manutenção e Reparos,Manutenção de elevador,2670.66
263,2026-03-14,Manutenção e Reparos,Hidráulica,1808.17
264,2026-03-25,Marketing e Vendas,Mídia paga,3197.02
265,2026-03-19,Marketing e Vendas,Comissão de OTA,2853.43
266,2026-03-26,Marketing e Vendas,Mídia paga,3431.43
267,2026-03-28,Marketing e Vendas,Material promocional,2571.49
268,2026-03-25,Marketing e Vendas,Material promocional,1990.17
269,2026-03-20,Marketing e Vendas,Material promocional,2518.93
270,2026-03-21,Marketing e Vendas,Material promocional,1665.56
271,2026-03-01,Marketing e Vendas,Material promocional,2703.12
272,2026-03-30,Marketing e Vendas,Material promocional,1692.45
273,2026-03-27,Marketing e Vendas,Material promocional,1421.31
274,2026-03-09,Marketing e Vendas,Comissão de OTA,3143.93
275,2026-03-06,Marketing e Vendas,Mídia paga,2027.36
276,2026-03-13,Impostos e Taxas,Taxa de bombeiros,9102.24
277,2026-03-15,Impostos e Taxas,IPTU,5449.18
278,2026-03-06,Impostos e Taxas,IPTU,4363.11
279,2026-03-10,Impostos e Taxas,IPTU,4118.80
280,2026-03-25,Impostos e Taxas,ISS,7410.59
281,2026-03-29,Impostos e Taxas,ISS,3647.11
282,2026-03-05,Impostos e Taxas,PIS/COFINS,7946.04
283,2026-03-25,Impostos e Taxas,ISS,9424.14
284,2026-03-22,Impostos e Taxas,ISS,3789.08
285,2026-03-09,Impostos e Taxas,Taxa de bombeiros,6598.28
286,2026-03-07,Alimentação e Bebidas,Bebidas,3530.99
287,2026-03-31,Alimentação e Bebidas,Carnes e frios,2915.77
288,2026-03-25,Alimentação e Bebidas,Carnes e frios,2282.29
289,2026-03-25,Alimentação e Bebidas,Bebidas,3228.86
290,2026-03-10,Alimentação e Bebidas,Bebidas,2695.66
291,2026-03-04,Alimentação e Bebidas,Hortifrúti,1948.42
292,2026-03-16,Alimentação e Bebidas,Panificação,3757.90
293,2026-03-06,Alimentação e Bebidas,Carnes e frios,3486.53
294,2026-03-13,Alimentação e Bebidas,Carnes e frios,3275.38
295,2026-03-17,Alimentação e Bebidas,Bebidas,2578.44
296,2026-03-03,Alimentação e Bebidas,Panificação,2298.08
297,2026-03-28,Alimentação e Bebidas,Hortifrúti,4734.61
298,2026-03-14,Alimentação e Bebidas,Hortifrúti,1769.46
299,2026-03-11,Limpeza e Higiene,Produtos de limpeza,3120.20
300,2026-03-26,Limpeza e Higiene,Enxoval e rouparia,2464.25
301,2026-03-15,Limpeza e Higiene,Enxoval e rouparia,2458.85
302,2026-03-30,Limpeza e Higiene,Amenities,2770.61
303,2026-03-03,Limpeza e Higiene,Amenities,2102.17
304,2026-03-28,Limpeza e Higiene,Produtos de limpeza,1409.18
305,2026-03-08,Limpeza e Higiene,Amenities,1193.13
306,2026-03-04,Outras Despesas,Internet e telefonia,444.63
307,2026-03-09,Outras Despesas,Internet e telefonia,1053.10
308,2026-03-06,Outras Despesas,Material de escritório,957.26
309,2026-03-05,Outras Despesas,Material de escritório,554.45
310,2026-03-03,Outras Despesas,Internet e telefonia,982.86
311,2026-03-31,Outras Despesas,Material de escritório,442.88
312,2026-03-16,Outras Despesas,Seguro predial,870.76
313,2026-03-25,Outras Despesas,Material de escritório,791.90
314,2026-03-25,Outras Despesas,Material de escritório,533.19
315,2026-03-15,Outras Despesas,Material de escritório,980.64
316,2026-03-30,Outras Despesas,Material de escritório,653.98
317,2026-03-21,Outras Despesas,Material de escritório,1120.48
318,2026-03-20,Outras Despesas,Seguro predial,880.15
319,2026-03-28,Outras Despesas,Material de escritório,497.68
320,2026-04-26,Folha de Pagamento,Vale-transporte,23885.35
321,2026-04-03,Folha de Pagamento,Salários,18765.35
322,2026-04-27,Folha de Pagamento,Vale-transporte,21957.86
323,2026-04-20,Folha de Pagamento,Salários,18389.03
324,2026-04-21,Folha de Pagamento,Encargos sociais,10935.44
325,2026-04-23,Folha de Pagamento,Encargos sociais,14100.82
326,2026-04-10,Folha de Pagamento,Vale-transporte,14334.31
327,2026-04-01,Folha de Pagamento,Horas extras,9800.41
328,2026-04-08,Folha de Pagamento,Vale-transporte,16457.65
329,2026-04-28,Energia Elétrica,Demanda contratada,6280.94
330,2026-04-02,Energia Elétrica,Demanda contratada,5281.37
331,2026-04-12,Energia Elétrica,Demanda contratada,8919.27
332,2026-04-24,Energia Elétrica,Fatura Copel,6407.34
333,2026-04-12,Energia Elétrica,Fatura Copel,7894.48
334,2026-04-12,Energia Elétrica,Fatura Copel,6183.60
335,2026-04-24,Energia Elétrica,Fatura Copel,3193.20
336,2026-04-15,Água e Esgoto,Fatura Sanepar,1359.35
337,2026-04-10,Água e Esgoto,Fatura Sanepar,1829.10
338,2026-04-02,Água e Esgoto,Fatura Sanepar,1799.59
339,2026-04-29,Água e Esgoto,Fatura Sanepar,2452.53
340,2026-04-11,Água e Esgoto,Fatura Sanepar,2855.11
341,2026-04-17,Água e Esgoto,Fatura Sanepar,2542.43
342,2026-04-27,Água e Esgoto,Fatura Sanepar,3177.96
343,2026-04-09,Água e Esgoto,Fatura Sanepar,2100.01
344,2026-04-25,Água e Esgoto,Fatura Sanepar,1464.22
345,2026-04-10,Água e Esgoto,Fatura Sanepar,1362.45
346,2026-04-28,Água e Esgoto,Fatura Sanepar,2609.73
347,2026-04-09,Gás,Recarga de GLP,1002.89
348,2026-04-24,Gás,Gás da cozinha,1685.30
349,2026-04-03,Gás,Gás da cozinha,1215.26
350,2026-04-20,Gás,Recarga de GLP,1167.37
351,2026-04-18,Gás,Gás da cozinha,1218.88
352,2026-04-11,Gás,Recarga de GLP,1889.11
353,2026-04-03,Gás,Gás da cozinha,1088.27
354,2026-04-22,Gás,Gás da cozinha,890.83
355,2026-04-10,Gás,Gás da cozinha,1546.16
356,2026-04-20,Gás,Gás da cozinha,1124.98
357,2026-04-06,Gás,Gás da cozinha,1682.64
358,2026-04-02,Manutenção e Reparos,Manutenção de elevador,5358.57
359,2026-04-22,Manutenção e Reparos,Pintura,6165.72
360,2026-04-12,Manutenção e Reparos,Ar-condicionado,4869.53
361,2026-04-01,Manutenção e Reparos,Ar-condicionado,4083.70
362,2026-04-28,Manutenção e Reparos,Pintura,4977.06
363,2026-04-02,Manutenção e Reparos,Ar-condicionado,5641.01
364,2026-04-09,Marketing e Vendas,Comissão de OTA,2214.62
365,2026-04-04,Marketing e Vendas,Comissão de OTA,3723.27
366,2026-04-24,Marketing e Vendas,Comissão de OTA,1367.55
367,2026-04-16,Marketing e Vendas,Material promocional,1678.50
368,2026-04-13,Marketing e Vendas,Material promocional,2440.08
369,2026-04-04,Marketing e Vendas,Mídia paga,2237.26
370,2026-04-25,Marketing e Vendas,Mídia paga,2424.71
371,2026-04-23,Marketing e Vendas,Mídia paga,1481.85
372,2026-04-07,Marketing e Vendas,Material promocional,1638.06
373,2026-04-10,Marketing e Vendas,Material promocional,2226.95
374,2026-04-30,Marketing e Vendas,Mídia paga,2091.92
375,2026-04-12,Impostos e Taxas,ISS,8322.21
376,2026-04-18,Impostos e Taxas,IPTU,5856.70
377,2026-04-29,Impostos e Taxas,IPTU,8604.28
378,2026-04-28,Impostos e Taxas,PIS/COFINS,5814.06
379,2026-04-23,Impostos e Taxas,PIS/COFINS,3615.92
380,2026-04-26,Impostos e Taxas,IPTU,7270.90
381,2026-04-17,Impostos e Taxas,PIS/COFINS,8277.27
382,2026-04-04,Impostos e Taxas,PIS/COFINS,5041.87
383,2026-04-23,Alimentação e Bebidas,Panificação,6218.90
384,2026-04-17,Alimentação e Bebidas,Panificação,2536.40
385,2026-04-25,Alimentação e Bebidas,Panificação,5079.81
386,2026-04-27,Alimentação e Bebidas,Hortifrúti,4187.68
387,2026-04-05,Alimentação e Bebidas,Bebidas,6282.95
388,2026-04-21,Alimentação e Bebidas,Hortifrúti,5068.37
389,2026-04-15,Alimentação e Bebidas,Panificação,5358.99
390,2026-04-22,Alimentação e Bebidas,Bebidas,2825.24
391,2026-04-05,Alimentação e Bebidas,Carnes e frios,3900.34
392,2026-04-12,Limpeza e Higiene,Enxoval e rouparia,2394.54
393,2026-04-29,Limpeza e Higiene,Amenities,3622.06
394,2026-04-28,Limpeza e Higiene,Produtos de limpeza,1426.05
395,2026-04-09,Limpeza e Higiene,Produtos de limpeza,1602.56
396,2026-04-21,Limpeza e Higiene,Enxoval e rouparia,1676.65
397,2026-04-09,Limpeza e Higiene,Produtos de limpeza,1706.54
398,2026-04-21,Limpeza e Higiene,Amenities,2112.22
399,2026-04-20,Limpeza e Higiene,Enxoval e rouparia,3105.01
400,2026-04-28,Outras Despesas,Internet e telefonia,1268.82
401,2026-04-03,Outras Despesas,Internet e telefonia,1255.85
402,2026-04-21,Outras Despesas,Material de escritório,780.02
403,2026-04-09,Outras Despesas,Material de escritório,1306.79
404,2026-04-07,Outras Despesas,Material de escritório,1629.30
405,2026-04-14,Outras Despesas,Material de escritório,973.42
406,2026-04-21,Outras Despesas,Internet e telefonia,1654.79
407,2026-04-16,Outras Despesas,Material de escritório,628.94
408,2026-05-09,Folha de Pagamento,Horas extras,11684.11
409,2026-05-04,Folha de Pagamento,Vale-transporte,23741.80
410,2026-05-29,Folha de Pagamento,Vale-transporte,12856.72
411,2026-05-27,Folha de Pagamento,Horas extras,12717.93
412,2026-05-31,Folha de Pagamento,Encargos sociais,11400.59
413,2026-05-10,Folha de Pagamento,Salários,19423.16
414,2026-05-10,Folha de Pagamento,Salários,13169.85
415,2026-05-12,Folha de Pagamento,Vale-transporte,13681.83
416,2026-05-21,Folha de Pagamento,Horas extras,23109.77
417,2026-05-24,Folha de Pagamento,Vale-transporte,20880.59
418,2026-05-05,Energia Elétrica,Fatura Copel,2667.45
419,2026-05-31,Energia Elétrica,Fatura Copel,3673.65
420,2026-05-14,Energia Elétrica,Demanda contratada,2669.14
421,2026-05-16,Energia Elétrica,Fatura Copel,2107.39
422,2026-05-25,Energia Elétrica,Demanda contratada,4292.40
423,2026-05-11,Energia Elétrica,Demanda contratada,2557.27
424,2026-05-21,Energia Elétrica,Fatura Copel,1905.17
425,2026-05-30,Energia Elétrica,Fatura Copel,4860.71
426,2026-05-21,Energia Elétrica,Fatura Copel,2510.19
427,2026-05-18,Energia Elétrica,Fatura Copel,2534.97
428,2026-05-30,Energia Elétrica,Fatura Copel,2076.16
429,2026-05-14,Energia Elétrica,Fatura Copel,2872.09
430,2026-05-30,Energia Elétrica,Fatura Copel,3363.67
431,2026-05-27,Energia Elétrica,Demanda contratada,4085.89
432,2026-05-10,Água e Esgoto,Fatura Sanepar,3434.02
433,2026-05-21,Água e Esgoto,Fatura Sanepar,3495.03
434,2026-05-29,Água e Esgoto,Fatura Sanepar,3408.75
435,2026-05-28,Água e Esgoto,Fatura Sanepar,3290.92
436,2026-05-09,Água e Esgoto,Fatura Sanepar,1217.33
437,2026-05-26,Água e Esgoto,Fatura Sanepar,2552.82
438,2026-05-11,Água e Esgoto,Fatura Sanepar,1451.67
439,2026-05-24,Água e Esgoto,Fatura Sanepar,3544.89
440,2026-05-14,Gás,Gás da cozinha,925.36
441,2026-05-03,Gás,Gás da cozinha,1506.82
442,2026-05-22,Gás,Recarga de GLP,1431.06
443,2026-05-06,Gás,Recarga de GLP,2113.95
444,2026-05-16,Gás,Gás da cozinha,1247.70
445,2026-05-30,Gás,Recarga de GLP,1999.74
446,2026-05-01,Gás,Gás da cozinha,2049.73
447,2026-05-13,Gás,Recarga de GLP,1629.90
448,2026-05-17,Manutenção e Reparos,Hidráulica,4779.58
449,2026-05-23,Manutenção e Reparos,Manutenção de elevador,2636.09
450,2026-05-21,Manutenção e Reparos,Hidráulica,4019.76
451,2026-05-12,Manutenção e Reparos,Ar-condicionado,1681.15
452,2026-05-08,Manutenção e Reparos,Ar-condicionado,3792.29
453,2026-05-16,Manutenção e Reparos,Ar-condicionado,3920.77
