mes,tipo,categoria,valor_planejado
2026-10,receita,Restaurante e Bar,90000.00
2026-11,despesa,Alimentação e Bebidas,35000.00
2026-11,despesa,Energia Elétrica,45000.00
2026-11,despesa,Folha de Pagamento,180000.00
2026-11,despesa,Gás,12000.00
2026-11,despesa,Impostos e Taxas,60000.00
2026-11,despesa,Limpeza e Higiene,15000.00
2026-11,despesa,Manutenção e Reparos,30000.00
2026-11,despesa,Marketing e Vendas,25000.00
2026-11,despesa,Outras Despesas,10000.00
2026-11,despesa,Água e Esgoto,20000.00
2026-11,receita,Diárias de Apartamentos,520000.00
2026-11,receita,Estacionamento,15000.00
2026-11,receita,Eventos,40000.00
2026-11,receita,Outras Receitas,5000.00
2026-11,receita,Restaurante e Bar,90000.00
2026-12,despesa,Alimentação e Bebidas,35000.00
2026-12,despesa,Energia Elétrica,45000.00
2026-12,despesa,Folha de Pagamento,180000.00
2026-12,despesa,Gás,12000.00
2026-12,despesa,Impostos e Taxas,60000.00
2026-12,despesa,Limpeza e Higiene,15000.00
2026-12,despesa,Manutenção e Reparos,30000.00
2026-12,despesa,Marketing e Vendas,25000.00
2026-12,despesa,Outras Despesas,10000.00
2026-12,despesa,Água e Esgoto,20000.00
2026-12,receita,Diárias de Apartamentos,520000.00
2026-12,receita,Estacionamento,15000.00
2026-12,receita,Eventos,40000.00
2026-12,receita,Outras Receitas,5000.00
2026-12,receita,Restaurante e Bar,90000.00
